NaBO2          NaBO2_g
(NaBr)2        (NaBr)2_g
NaBr           NaBr_g
(NaCl)2        (NaCl)2_g
NaCl           NaCl_g
NaClO4         NaClO4_cr
(NaCN)2        (NaCN)2_g
NaCN           NaCN_g
NaCO3          NaCO3_cr-l
Na             Na_g
(NaF)2         (NaF)2_g
NaF2_ion_n     NaF2_ion_n_g
NaF            NaF_g
NaH            NaH_g
NaI            NaI_l
Na_ion_n       Na_ion_n_g
Na_ion_p       Na_ion_p_g
NaO2           NaO2_cr
NaO            NaO_g
(NaOH)2        (NaOH)2_g
NaOH           NaOH_g
NaOH_ion_p     NaOH_ion_p_g
NaO_ion_n      NaO_ion_n_g
Nb2O5          Nb2O5_l
NbBr5          NbBr5_g
NbC0.98        NbC0.98_cr
NbCl5          NbCl5_g
Nb             Nb_g
Nb_ion_n       Nb_ion_n_g
Nb_ion_p       Nb_ion_p_g
NbO2           NbO2_g
NbO            NbO_g
NBr            NBr_g
NC101          NC101_g
NCN            NCN_g
ND2            ND2_g
ND3            ND3_g
ND             ND_g
Ne_ion_p       Ne_ion_p_g
Ne             Ne_ref
NF2            NF2_g
NF3            NF3_g
NF3O           NF3O_g
NF             NF_g
N              N_g
NH2            NH2_g
NH3            NH3_g
NH4Br          NH4Br_cr
NH4Cl          NH4Cl_cr
NH4ClO4        NH4ClO4_cr
NH4I           NH4I_cr
NH             NH_g
Ni3S2          Ni3S2_l
Ni3S4          Ni3S4_cr
NiCl2          NiCl2_g
NiCl           NiCl_g
Ni(CO)4        Ni(CO)4_g
Ni             Ni_g
Ni_ion_n       Ni_ion_n_g
Ni_ion_p       Ni_ion_p_g
N_ion_n        N_ion_n_g
N_ion_p        N_ion_p_g
NiS2           NiS2_l
NiS            NiS_g
NO2Cl          NO2Cl_g
NO2F           NO2F_g
NO2            NO2_g
NO3            NO3_g
NO             NO_g
NO_ion_p       NO_ion_p_g
NS             NS_g
O2F            O2F_g
O2_ion_n       O2_ion_n_g
O2_ion_p       O2_ion_p_g
O2Mo(OH)2      O2Mo(OH)2_g
O2             O2_ref
O2S(OH)2       O2S(OH)2_g
O2W(OH)2       O2W(OH)2_g
O3             O3_g
OAlCl          OAlCl_g
OAlF2          OAlF2_g
OAlF2_ion_n    OAlF2_ion_n_g
OAlF           OAlF_g
OAlH           OAlH_g
OAlOH          OAlOH_g
OBBr           OBBr_g
OBCl           OBCl_g
O(BeF)2        O(BeF)2_g
O(BF2)2        O(BF2)2_g
OBF2           OBF2_g
OBF            OBF_g
OD             OD_g
OF2            OF2_g
OF             OF_g
O              O_g
OH             OH_g
OH_ion_n       OH_ion_n_g
OH_ion_p       OH_ion_p_g
O_ion_n        O_ion_n_g
