# Molecular info:
# Radii sources:
# 01  http://www.sigmaaldrich.com/chemistry/chemical-synthesis/learning-center/technical-bulletins/al-1430/molecular-sieves.html
# 02  Mateucci et al. (2006)
# 03  http://www.webelements.com/compounds/ (from density and mass calculation)
# 04  Wolfram Alpha + Wikipedia
# 05  http://www.chemspider.com/Molecular-Formula/C2H2
# 06  R_vanderwaals, Handbook of Chemistry and Physics, Lide.
# 07  Allen's Astrophysical Quantities
# 08  Breck 1974: Zeolite Molecular Sieves: Structure, Chemistry, and Use
# 09  https://github.com/harirakul/chemlib

# Mass source: https://github.com/bjodah/chempy

# Species   Mass         Radius    Diameter   Long
# Name      g/mol        Angstrom  source     name
TiF2         85.863806   0.00      --
TiF3        104.862209   0.00      --
TiH          48.875000   0.00      --
TiO          63.866000   2.43      07        Titanium_monoxide
TiO2         79.865000   0.00      --
TiOCl2      134.766000   0.00      --
TiS          79.927000   0.00      --
V            50.941500   1.33      06        Vanadium
VN           64.948500   0.00      --
VO           66.940500   2.38      07        Vanadium_monoxide
VO2          82.939500   0.00      --
W           183.840000   2.00      09        Wolfram
W3O8        679.512000   0.00      --
WCl         219.290000   0.00      --
WCl2        254.740000   0.00      --
WF          202.838403   0.00      --
WO          199.839000   0.00      --
WO2         215.838000   0.00      --
WO2Cl2      286.738000   0.00      --
WO3         231.837000   0.00      --
(WO3)2      463.674000   0.00      --
(WO3)3      695.511000   0.00      --
(WO3)4      927.348000   0.00      --
YO          104.904840   0.00      --
Zr           91.224000   2.20      09        Zirconium
ZrCl        126.674000   0.00      --
ZrCl2       162.124000   0.00      --
ZrCl3       197.574000   0.00      --
ZrCl4       233.024000   0.00      --
ZrF         110.222403   0.00      --
ZrF2        129.220806   0.00      --
ZrF3        148.219209   0.00      --
ZrF4        167.217613   0.00      --
ZrH          92.232000   0.00      --
ZrN         105.231000   0.00      --
ZrO         107.223000   0.00      --
ZrO2        123.222000   0.00      --
e-            0.000549   0.00      --        Electron
