# YSES-1b SINFONI emission data from Zhang et al. (2021), Nat, 595.

# The @DEPTH_UNITS defines the spectrum and uncert units
# (none, percent, ppt, ppm, f_lambda), with f_lambda => W m⁻² μm⁻¹
@DEPTH_UNITS
f_lambda

# The @DATA flag sets the data
# flux            flux_err         wavelength  half_width    instrument
@DATA
 8.11608511e-16   1.94245266e-17     2.123468    0.000000    sinfoni
 8.06914450e-16   1.93200265e-17     2.123718    0.000000    sinfoni
 8.41933483e-16   1.94853137e-17     2.123969    0.000000    sinfoni
 8.55774846e-16   1.99047761e-17     2.124219    0.000000    sinfoni
 8.26505366e-16   2.02799422e-17     2.124469    0.000000    sinfoni
 9.00091996e-16   2.17932921e-17     2.124720    0.000000    sinfoni
 9.02774278e-16   2.13356048e-17     2.124970    0.000000    sinfoni
 8.70858841e-16   2.00794741e-17     2.125220    0.000000    sinfoni
 8.33534762e-16   1.96139772e-17     2.125471    0.000000    sinfoni
 8.29131379e-16   1.92516306e-17     2.125721    0.000000    sinfoni
 8.34184767e-16   1.92346038e-17     2.125972    0.000000    sinfoni
 8.42708716e-16   1.93235178e-17     2.126222    0.000000    sinfoni
 8.31107992e-16   1.96762077e-17     2.126473    0.000000    sinfoni
 8.34218147e-16   1.95852911e-17     2.126723    0.000000    sinfoni
 8.27856657e-16   1.93622791e-17     2.126973    0.000000    sinfoni
 8.24686103e-16   1.95099920e-17     2.127223    0.000000    sinfoni
 7.98329600e-16   2.00972746e-17     2.127474    0.000000    sinfoni
 7.90598039e-16   1.96109517e-17     2.127724    0.000000    sinfoni
 8.09280435e-16   1.95207870e-17     2.127975    0.000000    sinfoni
 8.37756075e-16   1.96620052e-17     2.128225    0.000000    sinfoni
 8.20055126e-16   1.98233818e-17     2.128476    0.000000    sinfoni
 7.99191162e-16   1.98637475e-17     2.128726    0.000000    sinfoni
 8.08590958e-16   1.90330925e-17     2.128976    0.000000    sinfoni
 8.13427562e-16   1.90083558e-17     2.129227    0.000000    sinfoni
