# Comment lines (like this one) and blank lines are ignored,
# central-wavelength and half-width units are always microns

# @DEPTH_UNITS sets the depth and uncert units (e.g., none, percent, ppt, ppm)
@DEPTH_UNITS
ppm

# depth  depth_err    wl      half_width    instrument
@DATA
21021.2    114.6      2.13713    0.01082    niriss_soss1
20995.1    111.8      2.15926    0.01131    niriss_soss1
20695.8    113.7      2.18188    0.01131    niriss_soss1
20951.4    120.7      2.20450    0.01131    niriss_soss1
20851.7    117.9      2.22664    0.01082    niriss_soss1
20845.8    123.8      2.25075    0.01132    niriss_soss1
21066.7    102.7      2.27929    0.01723    niriss_soss1
20928.4    126.8      2.32310    0.01182    niriss_soss1
21026.1    133.9      2.34674    0.01182    niriss_soss1
21252.3    136.5      2.37089    0.01232    niriss_soss1
21140.9    117.0      2.40688    0.02367    niriss_soss1
21168.2    145.0      2.44487    0.01234    niriss_soss1
21572.3    149.4      2.47006    0.01285    niriss_soss1
21073.3    233.5      2.48883    0.00494    niriss_soss1
21491.8    159.3      2.52099    0.01237    niriss_soss1
21585.1    175.5      2.56607    0.01289    niriss_soss1
21262.1    172.7      2.59237    0.01341    niriss_soss1
21334.2    175.2      2.61920    0.01343    niriss_soss1
21685.7    171.7      2.64607    0.01345    niriss_soss1
21919.6    148.2      2.68198    0.02246    niriss_soss1
21796.0    191.5      2.72046    0.01402    niriss_soss1
21596.7    201.8      2.74852    0.01405    niriss_soss1
21556.1    184.3      2.78118    0.01861    niriss_soss1
21864.3    441.2      2.80484    0.00302    niriss_soss1

22060.8    374.9      2.7388    0.0139    nirspec_g395h_nrs1
21890.3    141.7      2.7667    0.0139    nirspec_g395h_nrs1
21947.9    102.3      2.7949    0.0143    nirspec_g395h_nrs1
21850.8     84.7      2.8234    0.0143    nirspec_g395h_nrs1
21845.1     70.5      2.8523    0.0146    nirspec_g395h_nrs1
21751.3     95.0      2.8815    0.0146    nirspec_g395h_nrs1
21713.8     70.6      2.9110    0.0150    nirspec_g395h_nrs1
21597.9     72.0      2.9409    0.0149    nirspec_g395h_nrs1
