# Passband info could be (1) a path to a filter file or
# (2) a tophat filter defined by a central wavelength, half-width,
# and optionally a name

# Comment lines (like this one) and blank lines are ignored,
# central-wavelength and half-width units are always microns

# @DEPTH_UNITS sets the depth and uncert units (none, percent, ppt, ppm)
# and also indicates that there's data and uncertainties to read
# as two columns before the passband info

@DEPTH_UNITS
ppm

# depth    depth_err     wl  half_width    instrument
@DATA
  211.90      7.60   {FILTERS}cheops.dat
  340.40      7.00   {FILTERS}tess.dat
 3098.00    112.00   {FILTERS}spitzer_irac1.dat
 3925.00     25.00   {FILTERS}spitzer_irac2.dat
 4080.00    230.00   {FILTERS}spitzer_irac3.dat
 4350.00    205.00   {FILTERS}spitzer_irac4.dat
 1257.46     87.14     1.52346    0.00244    NIRISS
 1260.34     78.91     1.52834    0.00244    NIRISS
 1140.06     80.65     1.53322    0.00244    NIRISS
 1288.08     82.16     1.53810    0.00244    NIRISS
 1356.11     72.82     1.54298    0.00244    NIRISS
 1210.76     83.68     1.54787    0.00244    NIRISS
 1309.78     76.42     1.55275    0.00244    NIRISS
 1181.26     79.29     1.55763    0.00244    NIRISS
 1309.38     84.60     1.56252    0.00244    NIRISS
 1354.96     84.59     1.56741    0.00244    NIRISS
 1352.31     83.67     1.57229    0.00244    NIRISS
 1397.20    101.01     1.57669    0.00196    NIRISS
 1109.25     89.17     1.58109    0.00244    NIRISS
 1353.10     90.45     1.58598    0.00245    NIRISS
 1294.37     86.88     1.59087    0.00245    NIRISS
 1448.87     80.47     1.59577    0.00245    NIRISS
 1216.77     84.53     1.60066    0.00245    NIRISS
 1282.45     91.29     1.60555    0.00245    NIRISS
 1087.87     89.70     1.61045    0.00245    NIRISS
 1280.00     92.97     1.61534    0.00245    NIRISS
 1177.89     89.30     1.62024    0.00245    NIRISS
 1448.77     82.43     1.62513    0.00245    NIRISS
 1136.52     90.30     1.63003    0.00245    NIRISS
 1303.59     97.94     1.63493    0.00245    NIRISS
 1253.94     92.42     1.63983    0.00245    NIRISS
 1460.34    100.75     1.64473    0.00245    NIRISS
 1238.38     89.91     1.64963    0.00245    NIRISS
 1428.89     93.59     1.65453    0.00245    NIRISS
 1173.18     96.77     1.65943    0.00245    NIRISS
 1456.42     90.45     1.66433    0.00245    NIRISS
 1333.72     85.74     1.66923    0.00245    NIRISS
 1473.30    103.17     1.67364    0.00196    NIRISS
 1380.21    101.95     1.67806    0.00245    NIRISS
 1309.50    109.17     1.68296    0.00245    NIRISS
 1281.31    104.28     1.68786    0.00245    NIRISS
 1436.36    102.60     1.69277    0.00245    NIRISS
 1224.50    106.73     1.69767    0.00245    NIRISS
 1321.28    103.62     1.70258    0.00245    NIRISS
 1097.09    103.85     1.70749    0.00245    NIRISS
 1483.87    103.72     1.71239    0.00245    NIRISS
 1482.50     92.06     1.71730    0.00245    NIRISS
 1580.39     98.88     1.72221    0.00245    NIRISS
 1352.38    107.29     1.72712    0.00245    NIRISS
 1399.44    107.84     1.73202    0.00245    NIRISS
 1465.84    116.86     1.73693    0.00245    NIRISS
 1488.64    105.45     1.74184    0.00245    NIRISS
 1511.11     99.56     1.74675    0.00245    NIRISS
 1438.39    113.16     1.75117    0.00196    NIRISS
 1537.94    105.35     1.75559    0.00246    NIRISS
 1563.48     99.28     1.76050    0.00246    NIRISS
 1561.96    101.29     1.76541    0.00246    NIRISS
 1542.44     99.97     1.77032    0.00246    NIRISS
 1715.44    111.82     1.77524    0.00246    NIRISS
 1458.12    101.19     1.78015    0.00246    NIRISS
 1595.47    104.81     1.78506    0.00246    NIRISS
 1546.16    102.98     1.78997    0.00246    NIRISS
 1453.57    119.25     1.79488    0.00246    NIRISS
 1488.18    117.61     1.79980    0.00246    NIRISS
 1491.51    118.01     1.80471    0.00246    NIRISS
