# Simulated JWST transit observation of WASP-107b like planet
# with NIRISS/SOSS

@DEPTH_UNITS
percent

#     depth    depth_err   wavelength  half_width    instrument
@DATA
    2.06073      0.01409     0.826566    0.002755    soss_order2
    2.07072      0.01475     0.832095    0.002774    soss_order2
    2.09421      0.01541     0.837661    0.002792    soss_order2
    2.08010      0.01579     0.843264    0.002811    soss_order2
    2.07982      0.01624     0.848904    0.002830    soss_order2
    2.04850      0.01630     0.854583    0.002849    soss_order2
    2.06117      0.01720     0.860299    0.002868    soss_order2
    2.05784      0.01759     0.866053    0.002887    soss_order2
    2.08006      0.01889     0.871846    0.002906    soss_order2
    2.03655      0.01881     0.877678    0.002926    soss_order2
    2.06621      0.01967     0.883549    0.002945    soss_order2
    2.07028      0.01982     0.889459    0.002965    soss_order2
    2.08115      0.02055     0.895409    0.002985    soss_order2
    2.13164      0.02148     0.901398    0.003005    soss_order2
    2.08007      0.02206     0.907427    0.003025    soss_order2
    2.06228      0.02206     0.913497    0.003045    soss_order2
    2.07016      0.02387     0.919607    0.003065    soss_order2
    2.05062      0.02487     0.925759    0.003086    soss_order2
    2.07048      0.02470     0.931951    0.003107    soss_order2
    2.04514      0.02579     0.938185    0.003127    soss_order2
    2.00442      0.02806     0.944460    0.003148    soss_order2
    1.98650      0.02802     0.950778    0.003169    soss_order2
    2.06567      0.02948     0.957137    0.003190    soss_order2
    2.02881      0.03116     0.963540    0.003212    soss_order2
    2.05013      0.03272     0.969985    0.003233    soss_order2
    2.09965      0.03425     0.976473    0.003255    soss_order2
    2.05874      0.03534     0.983005    0.003277    soss_order2
    2.09933      0.03597     0.989580    0.003299    soss_order2
    2.06111      0.03956     0.996199    0.003321    soss_order2

